Host,Parasitoid,Temp,Treat,Sex,individual,body_weight
PSA,G,20,N,F,14,
PSA,G,20,N,F,15,
PSA,G,20,N,F,16,
PSA,G,20,N,F,17,
PSA,G,20,N,F,18,
PSA,G,20,N,F,19,
PSA,G,20,N,F,20,
PSA,D,20,N,F,1,0.064
PSA,D,20,N,F,2,0.047
PSA,D,20,N,F,3,0.064
PSA,D,20,N,F,4,0.057
PSA,D,20,N,F,5,0.054
PSA,D,20,N,F,6,0.062
PSA,D,20,N,F,7,0.06
PSA,D,20,N,F,8,0.049
PSA,D,20,N,F,9,0.063
PSA,D,20,N,F,10,0.066
PSA,D,20,N,F,11,0.064
PSA,D,20,N,F,12,0.059
PSA,D,20,N,F,13,0.05
PSA,D,20,N,F,14,0.062
PSA,D,20,N,F,15,0.065
PSA,D,20,N,F,16,0.057
PSA,D,20,N,F,17,0.062
PSA,D,20,N,F,18,0.057
PSA,D,20,N,F,19,0.064
PSA,D,20,N,F,20,
PSA,G,24,M,F,1,0.055
PSA,G,24,M,F,2,0.054
PSA,G,24,M,F,3,0.055
